Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Targeting of VMWare Horizon servers with Log4Shell vulnerability,2/18/2022,APT 35,"The Iranian threat actor APT 35 leveraged the Log4Shell vulnerability to run malicious PowerShell commands, deploy backdoors, steal credentials, and move laterally through systems.??",,VMware Horizon servers,Iran (Islamic Republic of),Espionage,Private sector,https://www.sentinelone.com/labs/log4j2-in-the-wild-iranian-aligned-threat-actor-tunnelvision-actively-exploiting-vmware-horizon/,https://www.bleepingcomputer.com/news/security/iranian-hackers-target-vmware-horizon-servers-with-log4j-exploits/,
Targeting of cryptocurrency company employees,4/19/2022,Lazarus Group,"North Korean hackers targeted cryptocurrency company employees in a phishing campaign to access systems and make fraudulent trades. Lazarus sent mass emails with job offers embedded with malicious links. When victims clicked, their devices downloaded TraderTraitor malware, which enabled the hackers to execute commands and infiltrate company networks to make fraudulent blockchain transactions.",Confirmation   https://www.cisa.gov/uscert/ncas/alerts/aa22-108a,Cryptocurrency company employees,Korea (Democratic People's Republic of),Financial Theft,Private sector,https://www.cisa.gov/uscert/ncas/alerts/aa22-108a,https://www.cyberscoop.com/tradertraitor-malware-warning-cisa-lazarus-group-north-korea/,
Targeting of individual suspects in serious criminal investigations within Canada,6/29/2022,Believed to be the work of the Canadian government,"The Royal Canadian Mounted Police (RCMP) has confirmed that it uses spyware to infiltrate the mobile devices of suspects in highly sensitive criminal and national security investigations. From 2018 to 2020, the RCMP said it used spyware in ten investigations.",,Individual suspects within Canadian police investigations.,Canada,Espionage,Civil society,https://www.politico.com/news/2022/06/29/canada-national-police-spyware-phones-00043092,,
Targeting of Ukrainian government agencies in espionage campaign,9/15/2022,Gamaredon,"Gamaredon, a Russian threat actor, was found using newly developed malware to steal information from Ukrainian government agencies. The malware was distributed through a phishing campaign.",Unknown,Ukrainian government agencies,Russian Federation,Espionage,Government,https://blog.talosintelligence.com/2022/09/gamaredon-apt-targets-ukrainian-agencies.html,,
Targeting of Israeli activist,1/20/2022,Believed to be the work of Israel's government.,The Israeli government used the NSO Group's spyware tool Pegasus to spy on an Israeli activist. The authorities allegedly catalogued his activity on a dating site for use as future leverage.?,Denial   https://www.calcalistech.com/ctech/articles/0%2C7340%2CL-3927606%2C00.html,An activist in Israel,Israel,Espionage,Civil society,https://www.calcalistech.com/ctech/articles/0%2C7340%2CL-3927606%2C00.html,,
Targeting of Ukrainian government and IT sector systems with WhisperGate malware,1/15/2022,Believed to be the work of the Russian government,"The Russian Army?? Main Intelligence Directorate (the GRU) used WhisperGate wiper malware on Ukrainian systems on January 13, 2022. The wiper masqueraded as ransomware, offering victims the chance to decrypt their data for a fee, while in reality, the malware wiped the system. The wiper was found on systems throughout Ukraine, including the foreign ministry and networks used by the Ukrainian cabinet.",,Ukrainian government and IT sector systems,Russian Federation,Data destruction,Government,https://www.microsoft.com/security/blog/2022/01/15/destructive-malware-targeting-ukrainian-organizations/,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4Vwwd,
Targeting of Belgian Defense Ministry,7/18/2022,Gallium,"Chinese threat actors targeted the Belgian Defense Ministry as part of a wide-ranging cyberespionage campaign involving multiple threat actors, which also targeted the Interior Service. Belgian authorities condemned the activity.",Denouncement   https://diplomatie.belgium.be/en/news/declaration-minister-foreign-affairs-malicious-cyber-activities,Belgian Defense Ministry,China,Espionage,Military,https://diplomatie.belgium.be/en/news/declaration-minister-foreign-affairs-malicious-cyber-activities,,
Targeting of Uyghur populations,11/10/2022,Mirage,Chinese-affiliated threat actor APT 15 led a mobile surveillance campaign against Uyghurs in China and abroad using BadBazaar malware masquerading as Android apps.?,Unknown,Members of the Uyghur ethnic group,China,Espionage,Civil society,https://www.lookout.com/blog/uyghur-surveillance-campaign-badbazaar-moonshine,,
Targeting of Jordanian activists,4/5/2022,Believed to be the work of the Jordanian government,"The devices of at least four Jordanian human rights activists, lawyers, and journalists were infected with NSO Group?? Pegasus spyware between August 2019 and December 2021. Two Pegasus operators involved in the incident, named Mansaf and BlackIris, are likely connected to agencies of the Jordanian government.",,"Four Jordanian human rights defenders, lawyers, and journalists",Jordan,Espionage,Civil society,https://citizenlab.ca/2022/04/peace-through-pegasus-jordanian-human-rights-defenders-and-journalists-hacked-with-pegasus-spyware/,,
Targeting of Tibetans living abroad,6/1/2022,Lucky Cat,"A Chinese threat actor was found using a zero-day vulnerability, dubbed Follina, in Microsoft Office products to distribute zero-click malware. The attackers used Follina to target Tibetan organizations and Tibetans living abroad with malware.",,Tibetan organizations and Tibetans living abroad,China,Espionage,Civil society,https://www.bleepingcomputer.com/news/security/windows-msdt-zero-day-now-exploited-by-chinese-apt-hackers/,https://techcrunch.com/2022/06/01/china-backed-hackers-are-exploiting-unpatched-microsoft-zero-day/,
"Targeting of Australian, Malaysian, and European organizations and organizations operating in and around the South China Sea.",8/30/2022,APT 40,"APT 40 launched an espionage campaign targeting Australian, European, and Asian organizations involved in maintaining and producing wind turbines in the South China Sea, as well as Malaysian organizations working in the Kasawari gas field.",Unknown,"Australian, Canadian, German, Japanese, Norwegian, Swedish, and Taiwanese organizations involved in wind turbine maintenance and production, as well as Malaysian oil and gas refineries.",China,Espionage,"Government, Private sector",https://www.proofpoint.com/us/blog/threat-insight/chasing-currents-espionage-south-china-sea,https://www.bleepingcomputer.com/news/security/chinese-hackers-target-australian-govt-with-scanbox-malware/,https://therecord.media/china-linked-hackers-target-organizations-operating-in-south-china-sea/
"Targeting of Latvian, Lithuanian, and Ukrainian computer systems",2/23/2022,Sandworm,"Russian threat actors targeted computer systems in Latvia, Lithuania, and Ukraine with a wiper dubbed HermeticWiper. The malware was aimed at Windows devices, corrupting systems??master boot records, displaying signs of ransomware as a decoy, and destroying stored data. This followed another wiper attack aimed at Ukraine in January.?",,"Latvian, Lithuanian, and Ukrainian computer systems owned by banks and government contractors, as well as systems used by the defense, aviation, and IT sectors",Russian Federation,Data destruction,"Government, Civil society",https://www.cisa.gov/uscert/ncas/alerts/aa22-057a,https://www.sentinelone.com/labs/hermetic-wiper-ukraine-under-attack/,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/ukraine-wiper-malware-russia
Targeting of journalists reporting on North Korea,4/21/2022,APT 37,"North Korea??inked threat actor APT 37 targeted journalists with novel Goldbackdoor malware. APT 37 initially used RokRat malware to hack the email account of a former director at South Korea?? National Intelligence Service. The hackers then impersonated the official and targeted South Korean journalists, sending emails laced with Goldbackdoor malware. The malware can be used to steal passwords and documents.",,Journalists and the former director of South Korea?? National Intelligence Service,Korea (Democratic People's Republic of),Espionage,Civil society,https://stairwell.com/news/threat-research-the-ink-stained-trail-of-goldbackdoor/,https://www.nknews.org/2022/04/north-korean-hackers-steal-ex-intelligence-officials-emails-in-malware-attack/,
Targeting of UN Interim Force in Lebanon (UNIFIL),6/29/2022,Believed to be the work of the Iranian government,The Israeli defense minister has accused Iran and Hezbollah of attempting a cyberattack against the UNIFIL to steal information about its activities within southern Lebanon.,Confirmation   https://www.timesofisrael.com/gantz-says-iran-and-hezbollah-attempted-to-hack-unifil-steal-deployment-infomation/,UN peacekeeping force in Lebanon,Iran (Islamic Republic of),Espionage,"Civil society, Military",https://www.timesofisrael.com/gantz-says-iran-and-hezbollah-attempted-to-hack-unifil-steal-deployment-infomation/,,
Targeting of Ukrainian networks via fake telecommunications firms,9/19/2022,Sandworm,"A Russian threat actor masqueraded as a Ukrainian telecommunications firm in order to gain access to other networks in Ukraine, both through spear-phishing and malicious public domains.",Unknown,Ukrainian telecommunications infrastructure and other firms,Russian Federation,Espionage,"Private sector, Government",https://www.recordedfuture.com/russia-nexus-uac-0113-emulating-telecommunication-providers-in-ukraine,,
Targeting of local Israeli officials,1/23/2022,Believed to be the work of Israel's government,"The signals intelligence unit of the Israeli police is suspected of using Pegasus spyware to surveil local officials and their families in Israel. The warrantless surveillance conducted with Pegasus was used to inform later prosecutions for bribery, some of which were dismissed in court for lack of evidence. The police attempted to cover up evidence that they had used Pegasus in the investigations.?",Unknown,Mayors and other local officials in Israel.,Israel,Espionage,Government,https://www.calcalistech.com/ctech/articles/0%2C7340%2CL-3927704%2C00.html,,
Targeting of Asus routers,3/17/2022,Sandworm,"Sandworm targeted WatchGuard and ASUS routers with Cyclops Blink malware, an advanced modular botnet. The malware gives Sandworm access to data and files stored on compromised networks. The malware affects devices??hat do not belong to critical organizations, suggesting that its purpose may be to build infrastructure for later attacks on high-value targets.?",Criminal charges   https://www.justice.gov/opa/pr/justice-department-announces-court-authorized-disruption-botnet-controlled-russian-federation,"Asus Routers in countries including the United States, Canada, India, Italy, and Russia",Russian Federation,Espionage,Private sector,https://www.trendmicro.com/en_us/research/22/c/cyclops-blink-sets-sights-on-asus-routers--.html,https://www.justice.gov/opa/pr/justice-department-announces-court-authorized-disruption-botnet-controlled-russian-federation,
"Targeting of government network in Vinnytsia, Ukraine",4/27/2022,APT 28,"APT 28 conducted phishing campaigns targeting the Ukrainian military and government employees. Strontium succeeded in compromising a government network in Vinnytsia, a city in western Ukraine.",,Government network in Vinnytsia,Russian Federation,Sabotage,Government,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4Vwwd,,
Targeting of European Union (EU) member states,7/23/2022,APT 37,"A North Korean advanced persistent threat group used malware known as Konni, a remote-access Trojan, to hack into high-level organizations across the EU.",Unknown,"Czech Republic, Poland, and other EU countries",Korea (Democratic People's Republic of),Espionage,Government,https://www.bleepingcomputer.com/news/security/north-korean-hackers-attack-eu-targets-with-konni-rat-malware/,,
Targeting of Polish and Ukrainian transportation companies,11/10/2022,Sandworm,Russian threat actor Sandworm targeted transportation and logistics organizations in Ukraine and Poland with Prestige ransomware starting in October 2022.,Unknown,Ukrainian and Polish transportation companies,Russian Federation,Espionage,Private sector,https://www.microsoft.com/en-us/security/blog/2022/11/10/microsoft-threat-intelligence-presented-at-cyberwarcon-2022/,,
Antlion,2/2/2022,,Antlion is a Chinese threat actor suspected of targeting organizations in Taiwan using custom backdoors to deploy both custom and off-the-shelf malware. Antlion has conducted extended espionage campaigns against private sector companies.?,,Financial departments of Taiwanese private sector companies,,Espionage,Private sector,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/china-apt-antlion-taiwan-financial-attacks,,
Targeting of Israeli officials,4/6/2022,APT-C-23,"Hamas-linked actor APT-C-23 targeted Israelis with an espionage campaign to exfiltrate sensitive information from individuals working in law enforcement, the military, and emergency services. The attackers used fabricated Facebook profiles to lure targets to install trojanized direct message applications.",,"Israeli individuals including a group of high-profile targets working for defense, law enforcement, and emergency services organizations","Palestine, State of",Espionage,Government,https://www.cybereason.com/blog/operation-bearded-barbie-apt-c-23-campaign-targeting-israeli-officials,https://www.bloomberg.com/news/articles/2022-04-06/hackers-posed-as-flirtatious-women-to-target-israeli-officials,
Targeting of Boston Children?? Hospital,6/1/2022,Believed to be the work of the Iranian government.,Iranian government-backed hackers are believed to have launched a ransomware attack against the Boston Children's Hospital in the summer of 2021. The attack was foiled after a partner country shared intelligence with the FBI.,Denouncement   https://www.wsj.com/articles/fbi-chief-blames-iran-for-cyberattack-on-boston-childrens-hospital-11654096382,Boston Children's Hospital,Iran (Islamic Republic of),Financial Theft,Private sector,https://www.wsj.com/articles/fbi-chief-blames-iran-for-cyberattack-on-boston-childrens-hospital-11654096382,https://www.bostonglobe.com/2022/06/01/business/hackers-linked-iran-targeted-boston-childrens-hospital-fbi-boss-says/,
Targeting of industrial enterprises and public institutions in Central Asia and Eastern Europe,8/8/2022,APT 18,"Chinese hackers used phishing emails to plant PortDoor malware on the systems of industrial organizations in Afghanistan, Belarus, Russia, and Ukraine. Security researchers detected the hackers exfiltrating data to a server with a Chinese IP address.",Unknown,"Industrial plants, design bureaus, research institutes, and government organizations in Afghanistan, Belarus, Russia, and Ukraine.",China,Espionage,"Government, Private sector",https://ics-cert.kaspersky.com/publications/reports/2022/08/08/targeted-attack-on-industrial-enterprises-and-public-institutions/,,
Targeting of Chinese users with three zero days,12/2/2022,Ocean Lotus,"Ocean Lotus, a Vietnamese APT, was found deploying three zero days on Chinese networks. The attacks were primarily directed at gaining and expanding access to routers, networks, and cameras in China. Ocean Lotus could have also incorporated some of the compromised devices into its Torii botnet.
?",Unknown,Chinese organizations and surveillance companies,Vietnam,Espionage,"Government, Civil society",https://mp.weixin.qq.com/s/2RluW4O56UWiNSQB2hQtGA,,
Targeting of Ukrainian and Polish military personnel,2/25/2022,UNC1151,"Belarusian threat actor UNC1151 targeted the private email addresses of Ukrainian soldiers in a phishing attack. UNC1151 hacked the email accounts of military personnel and then leveraged the compromised address books to send further malicious emails, many of which were sent to Polish military personnel.?",Confirmation   https://www.reuters.com/world/europe/ukraine-says-its-military-is-being-targeted-by-belarusian-hackers-2022-02-25/,Ukrainian and Polish military personnel,"Belarus, Russian Federation",Espionage,Military,https://blog.google/threat-analysis-group/update-threat-landscape-ukraine/,https://therecord.media/ukraine-says-belarusian-hackers-are-targeting-its-military-personnel/,
Targeting of Russian military officials,4/27/2022,Mustang Panda,"Chinese threat actor Mustang Panda targeted Russian government computer systems with PlugX malware. The malware was disguised in a malicious file masquerading as a PDF, which was named after a Russian border guard unit.",,Russian officials??computer systems,China,Espionage,"Government, Military",https://www.cyberscoop.com/chinese-hacking-russia-ukraine-bronze-president/,https://www.secureworks.com/blog/bronze-president-targets-russian-speakers-with-updated-plugx,
Targeting of Hungarian Foreign Ministry networks,3/29/2022,Believed to be the work of the government of the Russian Federation.,The Federal Security Service and the Russian military intelligence agency have conducted cyberattacks against the Hungarian Foreign Ministry since at least 2012 to retrieve critical information Hungary?? diplomatic relations with the North Atlantic Treaty Organization and the European Union (EU).,Confirmation   https://www.direkt36.hu/en/putyin-hekkerei-is-latjak-a-magyar-kulugy-titkait-az-orban-kormany-evek-ota-nem-birja-elharitani-oket/,Hungarian Foreign Ministry,Russian Federation,Espionage,Government,https://www.direkt36.hu/en/putyin-hekkerei-is-latjak-a-magyar-kulugy-titkait-az-orban-kormany-evek-ota-nem-birja-elharitani-oket/,,
Targeting of governments in the Middle East and Africa,9/29/2022,APT 10,APT 10 installed web shells on public-facing servers and extracted information from Middle Eastern governments and an African stock exchange.,Unknown,Two Middle Eastern countries and one African stock exchange,China,Espionage,Government,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/witchetty-steganography-espionage,,
Earth Lusca,1/17/2022,,"Earth Lusca is a threat actor that targets organizations of interest to the Chinese government, including academic institutions, telecommunication companies, religious organizations, and other civil society groups. Earth Lusca's tools closely resemble those used by Winnti Umbrella, but the group appears to operate separately from Winnti. Earth Lusca has also been observed targeting cryptocurrency payment platforms and cryptocurrency exchanges in what are likely financially motivated attacks.?",,"Academic institutions, government research organizations, religious groups, cryptocurrency exchanges, and other financial and civil society organizations.",China,Espionage,"Government, Civil society, Private sector",https://www.trendmicro.com/en_id/research/22/a/earth-lusca-sophisticated-infrastructure-varied-tools-and-techni.html,https://www.trendmicro.com/content/dam/trendmicro/global/en/research/22/a/earth-lusca-employs-sophisticated-infrastructure-varied-tools-and-techniques/technical-brief-delving-deep-an-analysis-of-earth-lusca-operations.pdf,
Targeting of Ukrainian state bodies,3/18/2022,Gamaredon,"Russian APT??nvisiMole, which has ties to Gamaredon, conducted a phishing campaign targeting Ukrainian organizations with the LoadEdge backdoor. The backdoor allowed Gamaredon to install surveillance software and other malware onto infected systems.?",Confirmation   https://cert.gov.ua/article/37829,Ukrainian state bodies,Russian Federation,Espionage,Government,https://cert.gov.ua/article/37829,https://www.zdnet.com/article/ukraine-warns-of-invisimole-attacks-tied-to-state-sponsored-russian-hackers/#ftag=RSSbaffb68,
Targeting of Ukrainian organizations with CaddyWiper,3/15/2022,Sandworm,"Sandworm targeted Ukrainian organizations with CaddyWiper malware, destroying user data hosted on several dozen systems. Evidence suggests Sandworm infiltrated the targets??networks before installing the wiper.",,Ukrainian critical infrastructure and government systems,Russian Federation,Sabotage,Government,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4Vwwd,https://www.welivesecurity.com/2022/03/15/caddywiper-new-wiper-malware-discovered-ukraine/,
Targeting of South Korea with multiple spear-phishing campaigns,7/25/2022,Kimsuky,"A North Korean threat actor targeted South Korean government agencies, think tanks, and companies in the defense, education, energy, and medical-care sectors using spear- phishing campaigns to extract confidential information.",Unknown,"South Korean defense, education, medical, and energy companies and government agencies",Korea (Democratic People's Republic of),Espionage,"Government, Civil society, Private sector",https://ti.qianxin.com/blog/articles/king-of-phishing-analysis-of-kimsuky%27s-recent-spear-phishing-attacks-targeting-south-korea-with-multiple-topics/,https://www.nknews.org/2022/05/north-korean-hackers-weaponize-covid-outbreak-in-latest-cyber-attack/,
Targeting of U.S. federal agency,11/21/2022,Charming Kitten,"Iran-affiliated group Nemesis Kitten targeted an unnamed U.S. federal agency, though suspected to be the U.S. Merit Systems Protections Board, and installed cryptocurrency-mining software into the government agency's network.",Confirmation   https://www.cisa.gov/uscert/ncas/alerts/aa22-320a,U.S. Merit Systems Protections Board,Iran (Islamic Republic of),Espionage,Government,https://www.cisa.gov/uscert/ncas/alerts/aa22-320a,,
Targeting of journalists at News Corp,2/4/2022,Believed to be the work of China's government.,"A Chinese threat actor hacked the email accounts of journalists employed at American media company News Corp. The attackers aimed to uncover journalists??sources, as well as drafts of upcoming articles. No consumer or financial data was compromised.?",,"The email accounts of several journalists working for News Corp headquarters, News Technology Services, Dow Jones, News UK, and the New York Post",China,Espionage,"Private sector, Civil society",https://www.nytimes.com/2022/02/04/business/media/news-corp-email-hack.html,,
"Targeting of organizations in Asia, Europe, and North America",4/5/2022,APT 10,"Chinese threat actor APT 10 used a vulnerability in Microsoft Exchange to gain access to victims??networks, where the attackers deployed a custom loader and the Sodamaster backdoor. APT 10 also used a custom loader to obtain credentials. The attackers spent up to nine months in victims??networks.",,"Government, legal, religious, and nongovernmental organizations in Asia, Europe, and North America",China,Espionage,"Government, Civil society",https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/cicada-apt10-china-ngo-government-attacks,,
Targeting of Palauans via an Australian telecommunications company,6/3/2022,APT 40,"Chinese threat actor APT 40 was found using a zero-day in Microsoft Office products, dubbed Follina, as part of a spear-phishing campaign against targets in Palau.",,Australian telecommunications networks and a group of Palauan users,China,Espionage,Civil society,https://decoded.avast.io/threatintel/outbreak-of-follina-in-australia/,,
Targeting of Northwestern Polytechnical University,9/5/2022,"National Security Agency, Tailored Access Operations","China accused the U.S. National Security Agency (NSA) of hacking into the networks of Northwestern Polytechnical University, a prominent defense research university in Xi'an, in June 2022. Some researchers expressed doubt at the claims, as the report accused the NSA of using a tool more than ten years old that was leaked more than five years ago.",Denouncement   https://www.bloomberg.com/news/articles/2022-09-05/china-accuses-us-of-repeated-hacks-on-polytechnic-university#xj4y7vzkg,Northwestern Polytechnical University,United States,Espionage,Civil society,https://therecord.media/china-linked-hackers-target-organizations-operating-in-south-china-sea/,,
Targeting of Citrix Systems software,12/5/2022,APT 5,"The U.S. National Security Agency issued a warning that two pieces of software from Citrix Systems, which are commonly used in corporate servers, had major vulnerabilities that were being actively exploited by APT 5.
?",Unknown,Users of Citrix Systems' application delivery controller and Gateway endpoint,China,Espionage,Private sector,https://media.defense.gov/2022/Dec/13/2003131586/-1/-1/0/CSA-APT5-CITRIXADC-V1.PDF,,
Targeting of Moscow Stock Exchange and Sberbank websites,2/28/2022,Ukrainian IT Army,Hackers from Ukraine?? IT Army targeted the websites of the Moscow Stock Exchange and Russian lender Sberbank with a DDoS attack. The incident was planned and conducted through posts on Telegram channels and other social media directing thousands of members to attack specified targets.?,,Moscow Stock Exchange and Sberbank websites,Ukraine,Denial of service,Private sector,https://www.forbes.com/sites/thomasbrewster/2022/02/28/moscow-exchange-and-sberbank-websites-knocked-offline-was-ukraines-cyber-army-responsible/?sh=f88a24477cae,https://www.wsj.com/articles/volunteer-hackers-join-ukraines-fight-against-russia-11646082782,https://www.kmu.gov.ua/en/news/mincifri-it-armiya-blokuye-rosijski-sajti-za-dekilka-hvilin-golovni-peremogi-ukrayini-na-kiberfronti
Targeting of Catalan separatists,4/18/2022,Believed to be the work of the Spanish government,"The devices of at least sixty-five pro-independence Catalans were targeted with Pegasus and Candiru spyware. Most of the incidents occurred between 2017 and 2020, amid rising tensions over Catalan separatism and the 2017 Catalan independence referendum. Analysts found evidence on the victims??devices of ??ero-click??exploits, which infect phones and computers even without users clicking on malicious links. Reports indicate Spain?? intelligence service had prior court approval to use the spyware to target Catalan separatists.",,"The identified victims include the president of the Catalan government, members of the European Parliament, Catalan legislators, and activists",Spain,Espionage,"Government, Civil society",https://www.timesofisrael.com/spain-got-judicial-approval-to-use-israeli-spyware-on-catalan-separatists-report/,https://catalonia.citizenlab.ca/,
Targeting of pro-democracy organizations and activists in Thailand,7/17/2022,Believed to be the work of the government of Thailand.,Pegasus spyware was used to hack the phones of pro-democracy groups and individuals in Thailand.,Unknown,Pro-democracy organizations and activists in Thailand,Thailand,Espionage,Civil society,https://citizenlab.ca/2022/07/geckospy-pegasus-spyware-used-against-thailands-pro-democracy-movement/,https://www.reuters.com/world/asia-pacific/thailand-admits-using-phone-spyware-cites-national-security-2022-07-20/,
Targeting of medical professionals,10/4/2022,Charming Kitten,"As part of a larger Iranian espionage campaign against medical professionals, TA453 targeted an individual with a spear-phishing lure to gain access to their credentials. The earlier campaign, known as BadBlood, targeted researchers in the United States and Israel, although the location of the researcher targeted in this latest attack remains unclear.
?",Unknown,Individual in the medical profession,Iran (Islamic Republic of),Espionage,Civil society,https://www.proofpoint.com/us/blog/threat-insight/badblood-ta453-targets-us-and-israeli-medical-research-personnel-credential,,
Targeting of Middle Eastern government institutions in phishing campaign,1/20/2022,Believed to be the work of Hamas.,The Palestinian threat actor Molerats launched a spear-phishing attack by sending malicious documents to government departments across the Middle East. The documents were ostensibly an analysis of the conflict between Israel and Palestine.??,,Government institutions in the Middle East,"Palestine, State of",Espionage,Government,https://www.zscaler.com/blogs/security-research/new-espionage-attack-molerats-apt-targeting-users-middle-east?web_view=true,,
Targeting of Ukrainian government officials,3/24/2022,Believed to be the work of China's government,The Chinese threat actor Scarab targeted Ukrainian government officials with lure documents used to load HeaderTip malware onto target systems. The lure documents mimic releases from the National Police of Ukraine.?,,Ukrainian government officials,China,Espionage,Government,https://www.sentinelone.com/labs/chinese-threat-actor-scarab-targeting-ukraine/,,
Targeting of major Ukrainian broadcasting company,4/27/2022,Believed to be the work of the Russian government,Russian threat actors targeted a major broadcasting company with the DesertBlade wiper. This incident followed the Russian military?? announcement that it would destroy Ukrainian disinformation targets.,,Major Ukrainian broadcasting company,Russian Federation,Sabotage,Civil society,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4Vwwd,,
